neighborhood,count
East Liberty,9.0
Central Business District,7.0
Beechview,7.0
South Side Slopes,7.0
South Oakland,6.0
Hazelwood,6.0
Point Breeze,6.0
Mount Washington,6.0
Sheraden,5.0
Squirrel Hill South,5.0
South Side Flats,5.0
Brighton Heights,4.0
Central Oakland,4.0
Marshall-Shadeland,4.0
Crawford-Roberts,4.0
Bloomfield,3.0
Central Northside,3.0
Lincoln-Lemington-Belmar,3.0
Point Breeze North,3.0
Troy Hill,3.0
Spring Hill-City View,3.0
Westwood,3.0
Swisshelm Park,3.0
Upper Lawrenceville,3.0
Elliott,3.0
Garfield,3.0
Manchester,3.0
Crafton Heights,2.0
West End,2.0
Banksville,2.0
Carrick,2.0
Strip District,2.0
Perry South,2.0
Fineview,2.0
Larimer,2.0
Brookline,2.0
Lower Lawrenceville,2.0
Homewood North,2.0
Beltzhoover,2.0
Greenfield,2.0
Upper Hill,1.0
Esplen,1.0
Oakwood,1.0
Bon Air,1.0
Allegheny Center,1.0
Central Lawrenceville,1.0
Perry North,1.0
Duquesne Heights,1.0
Spring Garden,1.0
Windgap,1.0
Lincoln Place,1.0
Morningside,1.0
Stanton Heights,1.0
West Oakland,1.0
North Oakland,1.0
Bluff,1.0
East Hills,1.0
Allentown,1.0
Fairywood,1.0
Hays,1.0
Middle Hill,1.0
Arlington,1.0
East Carnegie,1.0
Squirrel Hill North,1.0
Homewood South,1.0
Bedford Dwellings,1.0
Homewood West,1.0
Terrace Village,1.0
New Homestead,1.0
Polish Hill,1.0
Regent Square,0.0
Knoxville,0.0
Shadyside,0.0
Summer Hill,0.0
Allegheny West,0.0
Chateau,0.0
St. Clair,0.0
Glen Hazel,0.0
California-Kirkbride,0.0
Mt. Oliver,0.0
South Shore,0.0
Ridgemont,0.0
Arlington Heights,0.0
Chartiers City,0.0
East Allegheny,0.0
North Shore,0.0
Friendship,0.0
Overbrook,0.0
Highland Park,0.0
Northview Heights,0.0
