neighborhood,count
Squirrel Hill South,14
Highland Park,12
Bloomfield,8
Allegheny Center,8
Terrace Village,8
Brookline,8
Point Breeze,7
Perry North,7
Elliott,6
Spring Hill-City View,6
Troy Hill,6
Carrick,6
Mount Washington,6
Brighton Heights,6
East Liberty,6
Shadyside,5
Morningside,5
Beechview,5
South Side Flats,5
Central Business District,4
Garfield,4
Lincoln-Lemington-Belmar,3
South Oakland,3
Bedford Dwellings,3
Perry South,3
North Oakland,3
Regent Square,3
Beltzhoover,3
Greenfield,3
Crawford-Roberts,3
Banksville,3
Lincoln Place,3
Manchester,3
Sheraden,3
Polish Hill,3
Hazelwood,3
Marshall-Shadeland,2
Duquesne Heights,2
Point Breeze North,2
Allentown,2
Windgap,2
Larimer,2
Central Lawrenceville,2
Hays,2
Squirrel Hill North,2
Central Oakland,2
West End,2
South Side Slopes,2
Westwood,2
Upper Hill,2
Swisshelm Park,2
Oakwood,1
Bon Air,1
Homewood West,1
Strip District,1
Stanton Heights,1
East Hills,1
Upper Lawrenceville,1
Central Northside,1
New Homestead,1
Lower Lawrenceville,1
Middle Hill,1
Homewood South,1
Bluff,1
Fineview,1
Spring Garden,1
