origpkname,hood
Cliffside Parklet,Crawford-Roberts
Young Field,Marshall-Shadeland
Revenue Park,New Homestead
Friendship Park,Bloomfield
Heths Playground,
Eileen McCoy Parklet,Duquesne Heights
Pauline Parklet,Beechview
Thomas Parklet,Central Business District
Hershel Playground,Elliott
Westwood School,Westwood
Catalano Parklet,Spring Garden
Troy Hill Citzen's Park,Troy Hill
Oakland Square,Central Oakland
Penn Circle W Triangle,East Liberty
Sheraden Park,Sheraden
Windermere Circle 1 & 2,Swisshelm Park
Northshore Riverfront Park,
Parkview Islands,Central Oakland
Grandview Overlook,Mount Washington
Liberty Avenue Island,Central Business District
Volunteers Field,Carrick
Frankstown Triangle 1 & 2,Larimer
Alcoa Park,
Lookout St Parklet,Troy Hill
McBride Park,
Chadwick Rec Center,Lincoln-Lemington-Belmar
Martin Luther King Field,
Glen Arden Triangle,Point Breeze
Allegheny Riverfront Park,
Leolyn Parklet,Carrick
Tuxedo Street Skate Park,Sheraden
Bon Air Tot Lot,Bon Air
Osceola Parklet,Bloomfield
Dunseith Tot Lot (Shalane's Play Yard),West Oakland
Olympia Park,Mount Washington
Bud Hammer Playground,Hazelwood
Market Square Park,Central Business District
Lincoln Place Parklet,Lincoln Place
Fairywood Playground,Fairywood
Niagara Parklet,South Oakland
Fort Pitt Playground,Garfield
Monongahela Playground,South Side Slopes
Stratmore Parklet,Crafton Heights
Allegheny Landing Park,
Legion Memorial Park,Brighton Heights
Warrington Playground,Beltzhoover
Zulema Passive Area,Central Oakland
McCandless Tot Lot,Upper Lawrenceville
Cross & Strauss Parklet,Perry South
McKinley Park,
Ream Parklet,Mount Washington
Lodge Potenza Senior Center,Mount Washington
Westwood Island,Westwood
Grant Street Islands,Central Business District
Garland Parklet,East Liberty
Thomas Blvd Planting Strip,Point Breeze North
Bedford Strip,Crawford-Roberts
West End Elliot Overlook Park,Elliott
Larimer Playground,Larimer
West End Park,
Vietnam Island,Squirrel Hill South
Magee Playground,Greenfield
Amber Triangle,East Liberty
Dinan Playground,Stanton Heights
Edgerton Circle,Point Breeze
Brighton Heights Park,Brighton Heights
Spring Hill Playground,Spring Hill-City View
Woods Run Tot Lot,Marshall-Shadeland
Granville Parklet,Crawford-Roberts
Arsenal Park and School,Lower Lawrenceville
Duncan Parklet,Upper Lawrenceville
Hazelwood Senior Center,Hazelwood
Kennard Playground,Terrace Village
Penn Circle W Square,East Liberty
Fineview Field,Fineview
Phillips Park,
Beechview Monument,Beechview
Winters Playground,South Side Slopes
Negley Run Strip,
West Penn Park,
Bloomfield Playground,
Crafton Heights Tot Lot,Westwood
Kite Hill Parklet,Garfield
Ammon Park,Bedford Dwellings
Brookline Memorial Park,
Vincennes Parklet,Middle Hill
Paulson Playground,Lincoln-Lemington-Belmar
East Carnegie Parklet,East Carnegie
Southside Market House,South Side Flats
Tustin Tot Lot,Bluff
Nelson Mandela Peace Park,Garfield
Mellon Square Park,Central Business District
Manchester Park,Manchester
Devlin Field,Arlington
Enright Parklet,East Liberty
Southside Riverfront Park,
Banksville School,Banksville
Bigbee Field,Allentown
Riverview Park,
Mellon Park Island,Point Breeze
Able Long Parklet,Beechview
Leslie Park,Central Lawrenceville
I579 Cap Park,
Marmaduke Playground,Brighton Heights
Alpine #2 Parklet,Central Northside
Harris Triangle,North Oakland
"Albert ""Turk"" Graham Parklet",Crawford-Roberts
Sullivan Playground,Lower Lawrenceville
Bates St Triangle,South Oakland
Wabash Playground,West End
